Number,Name,Categories,Phone,Address,Rating,Rating Count,Yelp_Rating,Yelp_type_Pricing,Yelp_has_delivery
722,Joyce,"Restaurants, American Restaurants, Seafood Restaurants",(213) 395-0202,"770 S Grand Ave Unit A, Los Angeles, CA 90017",rating not available/5,Review count not available,4.5,,No
735,Bolt,"Restaurants, Coffee Break Service & Supplies, Coffee & Tea",(323) 484-2658,"5648 Hollywood Blvd, Los Angeles, CA 90028",rating not available/5,Review count not available,4.5,$$,Yes
766,Woon,"Restaurants, Chinese Restaurants, Asian Restaurants",(213) 674-7434,"2920 W Temple St, Los Angeles, CA 90026",rating not available/5,Review count not available,4.5,$$,Yes
781,Louders,"Restaurants, Japanese Restaurants, Take Out Restaurants",(213) 263-9492,"3470 W 6th St, Los Angeles, CA 90020",rating not available/5,Review count not available,4.5,$$,Yes
787,Bacari Silverlake,"Restaurants, American Restaurants, Bars",(323) 410-7304,"3626 W Sunset Blvd, Los Angeles, CA 90026",rating not available/5,Review count not available,4.5,,Yes
791,Openaire,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants",(213) 368-3065,"3515 Wilshire Blvd, Los Angeles, CA 90010",rating not available/5,Review count not available,3.5,$$$,Yes
795,Sukasukasaya,"Restaurants, Asian Restaurants, Take Out Restaurants",(323) 403-0329,"3087 W Pico Blvd, Los Angeles, CA 90006",rating not available/5,Review count not available,4.5,$$,Yes
802,Pasta Sisters,"Restaurants, Italian Restaurants, Caterers",(323) 870-5271,"3343 W Pico Blvd, Los Angeles, CA 90019",rating not available/5,Review count not available,4.5,$$,Yes
2133,Pasta Sisters,"Restaurants, Italian Restaurants",(424) 603-4503,"3280 Helms Ave, Los Angeles, CA 90034",rating not available/5,Review count not available,4.5,$$,Yes
813,Muraya,"Restaurants, Sushi Bars, Japanese Restaurants",(323) 856-0369,"125 N Larchmont Blvd, Los Angeles, CA 90004",rating not available/5,Review count not available,4.0,$$,Yes
814,Good Goose Cafe,"Restaurants, Sushi Bars, Japanese Restaurants",(323) 378-5272,"5210 Beverly Blvd, Los Angeles, CA 90004",rating not available/5,Review count not available,5.0,$$,Yes
829,Met Her At A Bar,"Restaurants, Coffee & Espresso Restaurants, Coffee Shops",(323) 847-5013,"759 S La Brea Ave, Los Angeles, CA 90036",rating not available/5,Review count not available,4.5,$$,Yes
834,Beauty & Essex,"Restaurants, American Restaurants, Bars",(323) 676-8880,"1615 N Cahuenga Blvd, Los Angeles, CA 90028",rating not available/5,Review count not available,4.0,$$$,Yes
839,Shin,"Restaurants, Sushi Bars, Japanese Restaurants",(323) 464-4100,"1600 Wilcox Ave, Los Angeles, CA 90028",rating not available/5,Review count not available,4.0,$$,Yes
858,JAPAN HOUSE Los Angeles,"Restaurants, Japanese Restaurants, Sushi Bars",(800) 516-0565,"6801 Hollywood Blvd, Los Angeles, CA 90028",rating not available/5,Review count not available,4.5,,No
869,Monsieur Marcel,"Restaurants, Continental Restaurants, Caterers",(323) 939-7792,"6333 W 3rd St, Los Angeles, CA 90036",rating not available/5,Review count not available,4.0,$$$,Yes
877,Open Face Food Shop,"Restaurants, Continental Restaurants, American Restaurants",(855) 676-3223,"5577 W Adams Blvd, Los Angeles, CA 90016",rating not available/5,Review count not available,5.0,$$,Yes
883,The Little Door,"Restaurants, Mediterranean Restaurants, French Restaurants",(323) 951-1210,"8164 W 3rd St, Los Angeles, CA 90048",rating not available/5,Review count not available,4.0,$$$,Yes
886,Seoulmates,"Restaurants, Korean Restaurants, Asian Restaurants",(323) 424-4863,"8320 W 3rd St, Los Angeles, CA 90048",rating not available/5,Review count not available,4.5,$$,Yes
1079,Manuela,"Restaurants, American Restaurants, Caterers",(323) 849-0480,"907 E 3rd St, Los Angeles, CA 90013",rating not available/5,Review count not available,4.0,$$,Yes
1188,Habachihana Grill,"Restaurants, Sushi Bars, Japanese Restaurants",(213) 433-8638,"1045 S Hill St, Los Angeles, CA 90015",rating not available/5,Review count not available,4.0,$$,Yes
1238,Bestia,"Restaurants, Italian Restaurants",(213) 514-5724,"2121 E 7th Pl  Los Angeles  Ca, Los Angeles, CA 90021",rating not available/5,Review count not available,4.5,$$$,Yes
1279,Jin Chinese Kitchen,"Restaurants, Chinese Restaurants",(213) 263-2263,"1930 W Olympic Blvd, Los Angeles, CA 90006",rating not available/5,Review count not available,4.0,$,Yes
1418,The Silver Lake House,"Restaurants, Thai Restaurants, Asian Restaurants",(323) 660-6100,"1737 Silver Lake Blvd, Los Angeles, CA 90026",rating not available/5,Review count not available,4.5,$$,Yes
1425,Seong Buk Dong,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 738-8977,"3303 W 6th St, Los Angeles, CA 90020",rating not available/5,Review count not available,4.0,$$,Yes
1429,Dumpling House,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 389-3899,"3525 W 3rd St, Los Angeles, CA 90020",rating not available/5,Review count not available,4.0,$$,Yes
1439,Rikas Peruvian Cuisine,"Restaurants, Seafood Restaurants",(213) 263-2134,"3553 W 3rd St, Los Angeles, CA 90020",rating not available/5,Review count not available,4.5,$$,Yes
1448,Holbox,"Restaurants, Seafood Restaurants, Take Out Restaurants",(213) 986-9972,"3655 S Grand Ave, Los Angeles, CA 90007",rating not available/5,Review count not available,5.0,$$,Yes
1500,Gol Tong Chicken,"Restaurants, American Restaurants",(213) 716-6116,"3625 W 6th St, Los Angeles, CA 90020",rating not available/5,Review count not available,5.0,$$,Yes
1508,Himalayan House,"Restaurants, Indian Restaurants, Chinese Restaurants",(213) 262-7897,"1277 W Jefferson Blvd, Los Angeles, CA 90007",rating not available/5,Review count not available,4.0,$$,Yes
1527,Mdk Noodles,"Restaurants, Asian Restaurants",(213) 385-7789,"3630 Wilshire Blvd, Los Angeles, CA 90010",rating not available/5,Review count not available,4.0,$$,Yes
1596,Here's Looking at You,"Restaurants, American Restaurants, Asian Restaurants",(213) 568-3573,"3901 W 6th St, Los Angeles, CA 90020",rating not available/5,Review count not available,4.0,$$$,Yes
1607,Zzamong,"Restaurants, Family Style Restaurants, Caterers",(213) 739-2747,"4255 W 3rd St, Los Angeles, CA 90020",rating not available/5,Review count not available,4.0,$$,Yes
1624,HanEuem,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 388-8988,"539 S Western Ave, Los Angeles, CA 90020",rating not available/5,Review count not available,4.5,$$$,Yes
1668,Saikai Ramen Bar,"Restaurants, Asian Restaurants",(323) 378-6518,"209 N Western Ave Unit B, Los Angeles, CA 90004",rating not available/5,Review count not available,4.5,$$,Yes
1684,Antico Nuovo,"Restaurants, Italian Restaurants, Family Style Restaurants",(323) 510-3093,"4653 Beverly Blvd, Los Angeles, CA 90004",rating not available/5,Review count not available,4.0,$$$,Yes
1692,Saffy's,"Restaurants, American Restaurants",(424) 699-4845,"4845 Fountain Ave, Los Angeles, CA 90029",rating not available/5,Review count not available,4.0,$$$,No
1704,Ggiata Delicatessen,"Restaurants, Delicatessens, Italian Restaurants",(323) 798-5713,"5009 Melrose Ave, Los Angeles, CA 90038",rating not available/5,Review count not available,4.0,$$,No
1714,Olympic Noodle,"Restaurants, Asian Restaurants, Korean Restaurants",(323) 931-0007,"4008 W Olympic Blvd, Los Angeles, CA 90019",rating not available/5,Review count not available,4.0,$$,Yes
1718,Oi Asian Fusion,"Restaurants, Asian Restaurants, Japanese Restaurants",(213) 458-1945,"4734 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,Review count not available,4.5,$$,Yes
1729,La Cevicheria,"Restaurants, Seafood Restaurants, Latin American Restaurants",(323) 732-1253,"3809 W Pico Blvd, Los Angeles, CA 90019",rating not available/5,Review count not available,4.5,$$,No
1809,Johnny's West Adams,"Restaurants, American Restaurants, Delicatessens",(323) 840-3048,"4327 W Adams Blvd, Los Angeles, CA 90018",rating not available/5,Review count not available,4.0,$$,Yes
1869,Rao's Hollywood,"Restaurants, Italian Restaurants, Family Style Restaurants",(323) 962-7267,"1006 Seward St, Los Angeles, CA 90038",rating not available/5,Review count not available,4.5,$$$,Yes
1881,Totoyama Sushi & Ramen,"Restaurants, Sushi Bars, Take Out Restaurants",(323) 791-7791,"6201 Hollywood Blvd Ste 118, Los Angeles, CA 90028",rating not available/5,Review count not available,4.0,$$,Yes
1894,Supremo,"Restaurants, Italian Restaurants, Take Out Restaurants",(323) 852-3192,"901 S La Brea Ave, Los Angeles, CA 90036",rating not available/5,Review count not available,4.5,$$,Yes
1912,Tao Asian Bistro,"Restaurants, Asian Restaurants, Bars",(323) 593-7888,"6421 Selma Ave, Los Angeles, CA 90028",rating not available/5,Review count not available,4.0,$$$,Yes
1914,Mother Wolf,"Restaurants, Italian Restaurants",(323) 410-6060,"1545 Wilcox Ave, Los Angeles, CA 90028",rating not available/5,Review count not available,4.0,$$$$,No
1920,Gwen,"Restaurants, American Restaurants, Family Style Restaurants",(323) 946-7500,"6600 W Sunset Blvd, Los Angeles, CA 90028",rating not available/5,Review count not available,4.0,,No
2007,Fanny's,"Restaurants, American Restaurants",(323) 930-3080,"6067 Wilshire Blvd, Los Angeles, CA 90036",rating not available/5,Review count not available,4.0,$$,No
2022,Pho Saigon Pearl,"Restaurants, Vietnamese Restaurants, Asian Restaurants",(323) 930-8935,"519 S Fairfax Ave, Los Angeles, CA 90036",rating not available/5,Review count not available,4.0,$$,Yes
2036,BBQ + Rice,"Restaurants, Korean Restaurants, Asian Restaurants",(323) 498-5772,"7363 W Sunset Blvd, Los Angeles, CA 90046",rating not available/5,Review count not available,5.0,$$,Yes
2329,Northern Cafe,"Restaurants, Chinese Restaurants, Take Out Restaurants",(310) 208-8830,"1064 Gayley Ave, Los Angeles, CA 90024",rating not available/5,Review count not available,4.0,$$,Yes
2448,Carousel Restaurant,"Restaurants, Family Style Restaurants, Caterers",(323) 660-8060,"5112 Hollywood Blvd Ste 107, Los Angeles, CA 90027",rating not available/5,(11),4.5,$$$,Yes
2460,25 Degrees,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants",(323) 785-7244,"7000 Hollywood Blvd, Los Angeles, CA 90028",rating not available/5,(3),3.5,$$,Yes
2483,Ruen Pair,"Restaurants, Asian Restaurants, Thai Restaurants",(323) 466-0153,"5257 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(22),4.0,$$,Yes
2485,Providence,"Restaurants, Seafood Restaurants, American Restaurants",(323) 460-4170,"5955 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(8),4.5,$$$$,No
2487,Masa of Echo Park,"Restaurants, Pizza, Italian Restaurants",(213) 989-1558,"1800 W Sunset Blvd, Los Angeles, CA 90026",rating not available/5,(8),4.0,$$,No
2565,A Food Affair,"Restaurants, French Restaurants, American Restaurants",(310) 557-9795,"1513 S Robertson Blvd, Los Angeles, CA 90035",rating not available/5,Review count not available,4.5,$$$,No
2890,Osteria Mozza,"Restaurants, Italian Restaurants, Pizza",(323) 297-0100,"6602 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(8),4.0,$$$$,Yes
2913,California Grill Restaurant,"Restaurants, Family Style Restaurants, Caterers",(323) 660-0427,"800 N Virgil Ave, Los Angeles, CA 90029",rating not available/5,Review count not available,4.5,$,Yes
