name,rating,price,transactions,id,alias,image_url,is_closed,url,review_count,categories,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
Enchant,4.0,$$,['restaurant_reservation'],T4eGk9bvqtHS_M3IVlv72g,enchant-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/YowRCKBiPP3j6d__DfNDyA/o.jpg,False,https://www.yelp.com/biz/enchant-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,74,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",12135683195.0,(213) 568-3195,1089.538849,34.06042091,-118.309614,681 S Western Ave,,,Los Angeles,90005,US,CA,"['681 S Western Ave', 'Los Angeles, CA 90005']"
Lan Noodle,4.5,,"['delivery', 'pickup']",_d3dOIo2dKrBhy4Bmq7stA,lan-noodle-west-hollywood,https://s3-media4.fl.yelpcdn.com/bphoto/oGSYvFq5RW4BG2FRk3rT2w/o.jpg,False,https://www.yelp.com/biz/lan-noodle-west-hollywood?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,81,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chinese', 'title': 'Chinese'}]",13239896686.0,(323) 989-6686,3843.663048,34.089695,-118.344703,7100 Santa Monica Blvd,Ste 130,,West Hollywood,90046,US,CA,"['7100 Santa Monica Blvd', 'Ste 130', 'West Hollywood, CA 90046']"
Sun Nong Dan,4.5,$$,"['delivery', 'pickup']",BAdOTHAvXneDDu4Maqk67g,sun-nong-dan-los-angeles-5,https://s3-media1.fl.yelpcdn.com/bphoto/XX3ytYzn4ON4sj6SRTekVw/o.jpg,False,https://www.yelp.com/biz/sun-nong-dan-los-angeles-5?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,1037,"[{'alias': 'soup', 'title': 'Soup'}, {'alias': 'korean', 'title': 'Korean'}]",12132643303.0,(213) 264-3303,1189.162514,34.05916424,-118.308797,710 S Western Ave,,,Los Angeles,90005,US,CA,"['710 S Western Ave', 'Los Angeles, CA 90005']"
Butnal,4.5,,['restaurant_reservation'],kJfcJG9rVjSTNaxEZI5u_Q,butnal-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/_7Jo6DvlwaM3fnx3iGVdVA/o.jpg,False,https://www.yelp.com/biz/butnal-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,24,"[{'alias': 'korean', 'title': 'Korean'}]",13235923684.0,(323) 592-3684,849.7835055,34.054003,-118.320326,954 S Norton Ave,,,Los Angeles,90019,US,CA,"['954 S Norton Ave', 'Los Angeles, CA 90019']"
Hui Tou Xiang,4.5,$$,"['delivery', 'pickup']",eMCp5br4J_4at3jIX2ljrg,hui-tou-xiang-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/2RJnVsOIxH0_wzlN84oiTw/o.jpg,False,https://www.yelp.com/biz/hui-tou-xiang-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,299,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",13236457272.0,(323) 645-7272,4442.451401,34.101,-118.32968,1643 N Cahuenga Blvd,,,Los Angeles,90028,US,CA,"['1643 N Cahuenga Blvd', 'Los Angeles, CA 90028']"
Osteria Mamma,4.0,$$,"['delivery', 'pickup']",rr-hXB0ZqXLzUP97yftp0g,osteria-mamma-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/63LCQaMxrDU3QRLYqSJT4g/o.jpg,False,https://www.yelp.com/biz/osteria-mamma-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,1937,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",13232847060.0,(323) 284-7060,2430.431657,34.08335868,-118.3247249,5732 Melrose Ave,,,Los Angeles,90038,US,CA,"['5732 Melrose Ave', 'Los Angeles, CA 90038']"
HanEuem,4.5,$$$,"['delivery', 'pickup']",WO12S4gvOYkYF8_70RWrQA,haneuem-los-angeles-3,https://s3-media3.fl.yelpcdn.com/bphoto/5foxtb5kQfA2e-HPPgvUIw/o.jpg,False,https://www.yelp.com/biz/haneuem-los-angeles-3?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,244,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",12133888988.0,(213) 388-8988,1125.867789,34.064166,-118.309516,539 S Western Ave,,,Los Angeles,90020,US,CA,"['539 S Western Ave', 'Los Angeles, CA 90020']"
LA Wangbal,4.5,,"['delivery', 'restaurant_reservation', 'pickup']",zuf7xUNAlfVWtymHMcS6cQ,la-wangbal-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/Pq_U7M7ZiKpS2QBRbphvTg/o.jpg,False,https://www.yelp.com/biz/la-wangbal-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,40,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}]",12133155064.0,(213) 315-5064,1565.281871,34.069315,-118.307092,4251 W 3rd St,,,Los Angeles,90020,US,CA,"['4251 W 3rd St', 'Los Angeles, CA 90020']"
Louders,4.5,$$,"['delivery', 'pickup']",ccJcaRCHQkJmmnGC1SN4hQ,louders-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/5k4M-DMSiSW4TXCjPAYGpw/o.jpg,False,https://www.yelp.com/biz/louders-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,568,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}]",12132639492.0,(213) 263-9492,2204.90478,34.06309,-118.29754,3470 W 6th St,,,Los Angeles,90020,US,CA,"['3470 W 6th St', 'Los Angeles, CA 90020']"
Ka'teen,4.0,,[],dnYh7aAv1O5RwseWGdLOKQ,kateen-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/LYXELgjRFE7ByMhEWiDNDQ/o.jpg,False,https://www.yelp.com/biz/kateen-los-angeles-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,633,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",13234106360.0,(323) 410-6360,4331.910549,34.09948,-118.33167,6516 Selma Ave,,,Los Angeles,90028,US,CA,"['6516 Selma Ave', 'Los Angeles, CA 90028']"
GRANVILLE,4.5,$$,"['restaurant_reservation', 'delivery', 'pickup']",cal0Wpupxj9c_AV7WzDXsw,granville-west-hollywood-2,https://s3-media2.fl.yelpcdn.com/bphoto/znY6Wq1711cPvOtfKxWZZg/o.jpg,False,https://www.yelp.com/biz/granville-west-hollywood-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,2756,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",14245225161.0,(424) 522-5161,5732.507032,34.0771299,-118.38068,8701 Beverly Blvd,,,West Hollywood,90048,US,CA,"['8701 Beverly Blvd', 'West Hollywood, CA 90048']"
Running Goose,4.5,$$,"['restaurant_reservation', 'delivery', 'pickup']",RVbZaawgEGmto6TxOoVBdQ,running-goose-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/Q-IG5LRfrr9sJXz-jx8XVQ/o.jpg,False,https://www.yelp.com/biz/running-goose-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,1744,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'latin', 'title': 'Latin American'}]",13234691080.0,(323) 469-1080,4380.601938,34.10052,-118.32927,1620 N Cahuenga Blvd,,,Los Angeles,90028,US,CA,"['1620 N Cahuenga Blvd', 'Los Angeles, CA 90028']"
Hangari Kalguksu,4.5,$$,"['delivery', 'pickup']",h1R2iKYdm2lwukzMJvJqDw,hangari-kalguksu-los-angeles-4,https://s3-media3.fl.yelpcdn.com/bphoto/X_U65O9YnvMyb42h1BZ0JQ/o.jpg,False,https://www.yelp.com/biz/hangari-kalguksu-los-angeles-4?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,2641,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}]",12133882326.0,(213) 388-2326,2193.818219,34.06286026,-118.2975703,3470 W 6th St,Ste 9&10,,Los Angeles,90020,US,CA,"['3470 W 6th St', 'Ste 9&10', 'Los Angeles, CA 90020']"
Met Him At A Bar,4.5,$$,"['delivery', 'pickup']",HuQtriV_ApipXfM8xax33w,met-him-at-a-bar-los-angeles-3,https://s3-media1.fl.yelpcdn.com/bphoto/UMnKtlRGHm7tBZoLJa0pvg/o.jpg,False,https://www.yelp.com/biz/met-him-at-a-bar-los-angeles-3?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,715,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",13238523321.0,(323) 852-3321,2176.12867,34.060415,-118.345018,801 S La Brea,,,Los Angeles,90036,US,CA,"['801 S La Brea', 'Los Angeles, CA 90036']"
L'Antica Pizzeria Da Michele,4.5,$$$,"['delivery', 'pickup']",88kri8FhXy8b3DQ_QjSMmQ,l-antica-pizzeria-da-michele-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/SCuuHjFSwNpuYxpncVDs9w/o.jpg,False,https://www.yelp.com/biz/l-antica-pizzeria-da-michele-los-angeles-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,2081,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",13233662408.0,(323) 366-2408,4408.824608,34.09906083,-118.3373094,1534 N Mccadden Pl,,,Los Angeles,90028,US,CA,"['1534 N Mccadden Pl', 'Los Angeles, CA 90028']"
Republique,4.0,$$,"['delivery', 'pickup']",z0zaCVA-p_5xTsyUZrmR0g,republique-los-angeles-6,https://s3-media4.fl.yelpcdn.com/bphoto/Xy6oJ25E2QUzw_zsBD-dhA/o.jpg,False,https://www.yelp.com/biz/republique-los-angeles-6?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,7166,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",13103626115.0,(310) 362-6115,2078.194204,34.064154,-118.343684,624 S La Brea Ave,,,Los Angeles,90036,US,CA,"['624 S La Brea Ave', 'Los Angeles, CA 90036']"
Anju House,4.5,,"['restaurant_reservation', 'delivery', 'pickup']",XgQ8riUvnMOBVfRG29NCEQ,anju-house-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/nBjVnxjoOi77nwD4BvYNcA/o.jpg,False,https://www.yelp.com/biz/anju-house-los-angeles-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,118,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",12133155153.0,(213) 315-5153,1575.47776,34.07015196,-118.3076326,234 S Oxford Ave,,,Los Angeles,90004,US,CA,"['234 S Oxford Ave', 'Los Angeles, CA 90004']"
Great White,4.0,$$,[],1RJCu-0D5ZEnVRBKwqodGQ,great-white-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/LyaoiXtGYaSF8aAn68fvig/o.jpg,False,https://www.yelp.com/biz/great-white-los-angeles-2?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,498,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",13237455059.0,(323) 745-5059,1589.744678,34.07587723,-118.3233931,244 N Larchmont Blvd,,,Los Angeles,90004,US,CA,"['244 N Larchmont Blvd', 'Los Angeles, CA 90004']"
Burnin' Shell,4.5,$$$,[],IXX4iFv3YcU5TVyjncfQHg,burnin-shell-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/FXLigs_rRHhAc8m4X5KqLg/o.jpg,False,https://www.yelp.com/biz/burnin-shell-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,123,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",12133521300.0,(213) 352-1300,876.3882571,34.061463,-118.311848,3916 Wilshire Blvd,,,Los Angeles,90010,US,CA,"['3916 Wilshire Blvd', 'Los Angeles, CA 90010']"
HanEuem,4.5,$$$,"['delivery', 'pickup']",WO12S4gvOYkYF8_70RWrQA,haneuem-los-angeles-3,https://s3-media3.fl.yelpcdn.com/bphoto/5foxtb5kQfA2e-HPPgvUIw/o.jpg,False,https://www.yelp.com/biz/haneuem-los-angeles-3?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,244,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",12133888988.0,(213) 388-8988,1125.867789,34.064166,-118.309516,539 S Western Ave,,,Los Angeles,90020,US,CA,"['539 S Western Ave', 'Los Angeles, CA 90020']"
King Chang - LA,5.0,,"['restaurant_reservation', 'delivery', 'pickup']",iRjnWYY5oVJTaZ5teU1vOQ,king-chang-la-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/CgAbwqPsL0evbTEHrO5_bQ/o.jpg,False,https://www.yelp.com/biz/king-chang-la-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,446,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",12133185250.0,(213) 318-5250,1629.950541,34.06329,-118.30372,3732 W 6th St,,,Los Angeles,90020,US,CA,"['3732 W 6th St', 'Los Angeles, CA 90020']"
Enchant,4.0,$$,['restaurant_reservation'],T4eGk9bvqtHS_M3IVlv72g,enchant-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/YowRCKBiPP3j6d__DfNDyA/o.jpg,False,https://www.yelp.com/biz/enchant-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,74,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",12135683195.0,(213) 568-3195,1089.538849,34.06042091,-118.309614,681 S Western Ave,,,Los Angeles,90005,US,CA,"['681 S Western Ave', 'Los Angeles, CA 90005']"
Butnal,4.5,,['restaurant_reservation'],kJfcJG9rVjSTNaxEZI5u_Q,butnal-los-angeles,https://s3-media3.fl.yelpcdn.com/bphoto/_7Jo6DvlwaM3fnx3iGVdVA/o.jpg,False,https://www.yelp.com/biz/butnal-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,24,"[{'alias': 'korean', 'title': 'Korean'}]",13235923684.0,(323) 592-3684,849.7835055,34.054003,-118.320326,954 S Norton Ave,,,Los Angeles,90019,US,CA,"['954 S Norton Ave', 'Los Angeles, CA 90019']"
Lemon Grove,4.5,,[],o3yPf6EwWGYNcN3OnZFOPg,lemon-grove-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/eUVxcQFSoR4vBUHL-Addpg/o.jpg,False,https://www.yelp.com/biz/lemon-grove-los-angeles?adjust_creative=FvijjrsqB-7uyvXPT0HCUQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=FvijjrsqB-7uyvXPT0HCUQ,95,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'newamerican', 'title': 'New American'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",13239621717.0,(323) 962-1717,4558.390562,34.10237658,-118.3273158,1717 Vine St,,,Los Angeles,90028,US,CA,"['1717 Vine St', 'Los Angeles, CA 90028']"
