Number,Name,Categories,Phone,Address,Rating,Rating Count
43,Vinoteque,"Restaurants, Mediterranean Restaurants, Family Style Restaurants",(310) 860-6060,"7469 Melrose Ave, Los Angeles, CA 90046",rating not available/5,(1)
44,Don Chuy's Restaurant,"Restaurants, Mexican Restaurants, Family Style Restaurants",(310) 398-9606,"11707 Washington Pl, Los Angeles, CA 90066",rating not available/5,(1)
45,Corner Bakery Cafe,"Restaurants, Sandwich Shops, American Restaurants",(310) 824-1314,"1019 Westwood Blvd, Los Angeles, CA 90024",rating not available/5,Review count not available
46,Atlacatl Restaurant,"Restaurants, Latin American Restaurants, Spanish Restaurants",(323) 663-1404,"301 N Berendo St, Los Angeles, CA 90004",rating not available/5,Review count not available
47,Santino's Restaurant,"Restaurants, Family Style Restaurants",(323) 464-8260,"1253 Vine St Ste 9, Los Angeles, CA 90038",rating not available/5,Review count not available
48,Renaissance Restaurant,"Restaurants, Breakfast, Brunch & Lunch Restaurants, American Restaurants",(323) 960-3100,"5930 Franklin Ave, Los Angeles, CA 90028",rating not available/5,Review count not available
49,Bel Air Bar & Grill,"Restaurants, American Restaurants",(310) 440-5544,"612 N Sepulveda Blvd, Los Angeles, CA 90049",rating not available/5,Review count not available
50,Sansui Restaurant,"Restaurants, Japanese Restaurants, Asian Restaurants",(323) 660-3868,"2040 Hillhurst Ave, Los Angeles, CA 90027",rating not available/5,(9)
51,El Salsabor Restaurant,"Restaurants, Latin American Restaurants, Family Style Restaurants",(323) 266-1400,"522 S Lorena St, Los Angeles, CA 90063",rating not available/5,(1)
52,The Confection Co-op,"Restaurants, Take Out Restaurants, Caterers",(323) 467-1080,"1200 N Highland Ave, Los Angeles, CA 90038",rating not available/5,(1)
53,El Asador Restaurant,"Restaurants, Family Style Restaurants, Mexican Restaurants",(213) 387-8220,"1225 Venice Blvd, Los Angeles, CA 90006",rating not available/5,(2)
54,Upstairs 2,"Restaurants, American Restaurants, Caterers",(310) 231-0316,"2311 Cotner Ave, Los Angeles, CA 90064",rating not available/5,Review count not available
55,The Hart and the Hunter,"Restaurants, American Restaurants, Fine Dining Restaurants",(323) 424-3055,"7950 Melrose Ave, Los Angeles, CA 90046",rating not available/5,Review count not available
56,Fuddruckers,"Restaurants, American Restaurants, Take Out Restaurants",(310) 277-7756,"10250 Santa Monica Blvd, Los Angeles, CA 90067",rating not available/5,Review count not available
57,Desert Rose,"Restaurants, Health Food Restaurants, Family Style Restaurants",(323) 666-1166,"1700 Hillhurst Ave, Los Angeles, CA 90027",rating not available/5,(153)
58,Fred 62,"Restaurants, Coffee Shops, American Restaurants",(323) 667-0062,"1850 N Vermont Ave, Los Angeles, CA 90027",rating not available/5,(364)
59,WP24,"Restaurants, American Restaurants, Chinese Restaurants",(213) 743-8824,"900 W Olympic Blvd, Los Angeles, CA 90015",rating not available/5,(3)
60,Industriel,"Restaurants, American Restaurants, French Restaurants",(213) 488-8020,"609 S Grand Ave, Los Angeles, CA 90017",rating not available/5,(2)
61,Orchid Bar|Kitchen,"Restaurants, American Restaurants, Beer & Ale",(213) 784-3048,"819 S Flower St, Los Angeles, CA 90017",rating not available/5,(2)
62,California Pizza Kitchen,"Restaurants, Pizza, American Restaurants",(310) 209-9197,"1001 Broxton Ave, Los Angeles, CA 90024",rating not available/5,(1)
63,Ciro's Restaurant,"Restaurants, Family Style Restaurants, Take Out Restaurants",(323) 269-5104,"705 N Evergreen Ave, Los Angeles, CA 90033",rating not available/5,(1)
64,Breadsticks Restaurant,"Restaurants, Family Style Restaurants, Pizza",(310) 271-0498,"8570 W 3rd St, Los Angeles, CA 90048",rating not available/5,(1)
65,Franklin & Company,"Restaurants, American Restaurants, Bars",(323) 463-1552,"5923 Franklin Ave, Los Angeles, CA 90028",rating not available/5,(1)
66,Javan Restaurant,"Restaurants, Middle Eastern Restaurants, Caterers",(310) 207-5555,"11500 Santa Monica Blvd, Los Angeles, CA 90025",rating not available/5,(1)
67,Fabrocini's-Beverly Glen,"Restaurants, Pizza, Italian Restaurants",(310) 475-7404,"2960 N Beverly Glen Cir, Los Angeles, CA 90077",rating not available/5,(1)
68,Taix French Restaurant,"Restaurants, French Restaurants, Family Style Restaurants",(213) 484-1265,"1911 W Sunset Blvd, Los Angeles, CA 90026",rating not available/5,Review count not available
69,Picca,"Restaurants, Latin American Restaurants, Peruvian Restaurants",(310) 277-0133,"9575 W Pico Blvd, Los Angeles, CA 90035",rating not available/5,Review count not available
70,New Battambang Restaurant,"Restaurants, Asian Restaurants, Chinese Restaurants",(213) 620-9015,"648 New High St, Los Angeles, CA 90012",rating not available/5,Review count not available
71,Zermeno's Restaurant,"Restaurants, Family Style Restaurants",(323) 467-1202,"6115 Santa Monica Blvd, Los Angeles, CA 90038",rating not available/5,Review count not available
72,The Grill On The Alley,"Restaurants, American Restaurants, Seafood Restaurants",(323) 463-4633,"6801 Hollywood Blvd Ste 90028, Los Angeles, CA 90028",rating not available/5,Review count not available
73,Chick 'N Chow,"Restaurants, Asian Restaurants, Chinese Restaurants",(310) 274-5595,"9301 W Pico Blvd, Los Angeles, CA 90035",rating not available/5,Review count not available
74,Soleil Westwood,"Restaurants, American Restaurants, French Restaurants",(310) 441-5384,"1386 Westwood Blvd, Los Angeles, CA 90024",rating not available/5,Review count not available
75,That Pizza Place,"Restaurants, Pizza, Caterers",(310) 475-3888,"11651 W Pico Blvd, Los Angeles, CA 90064",rating not available/5,Review count not available
76,Westwood Pizzeria,"Restaurants, Pizza, Italian Restaurants",(310) 443-0123,"10974 Le Conte Ave, Los Angeles, CA 90024",rating not available/5,Review count not available
77,Fundamental La,"Restaurants, American Restaurants, Caterers",(310) 444-7581,"1303 Westwood Blvd, Los Angeles, CA 90024",rating not available/5,(8)
78,La Morenita Restaurant,"Restaurants, Family Style Restaurants, Latin American Restaurants",(323) 221-1687,"2620 N Broadway, Los Angeles, CA 90031",rating not available/5,(2)
79,Corner Place Restaurant,"Restaurants, Korean Restaurants, Asian Restaurants",(213) 487-0968,"2819 James M Wood Blvd, Los Angeles, CA 90006",rating not available/5,(1)
80,Louise's Trattoria,"Restaurants, Italian Restaurants, Caterers",(323) 962-9510,"232 N Larchmont Blvd, Los Angeles, CA 90004",rating not available/5,(1)
81,Carolina's Restaurant,"Restaurants, Family Style Restaurants, Latin American Restaurants",(323) 257-1437,"6011 N Figueroa St, Los Angeles, CA 90042",rating not available/5,(1)
82,King Taco,"Restaurants, Mexican Restaurants, Family Style Restaurants",(213) 384-8115,"2020 W Pico Blvd, Los Angeles, CA 90006",rating not available/5,(1)
83,El Pescador Restaurant,"Restaurants, Family Style Restaurants, Mexican Restaurants",(323) 223-8866,"2910 Division St, Los Angeles, CA 90065",rating not available/5,(1)
84,The Tower Bar,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants",(323) 848-6677,"8358 W Sunset Blvd, Los Angeles, CA 90069",rating not available/5,Review count not available
85,Mary and Robb's Westwood Cafe an American diner,"Restaurants, Coffee Shops, Coffee & Tea",(310) 478-3822,"1455 Westwood Blvd, Los Angeles, CA 90024",rating not available/5,Review count not available
86,H K Barbeque,"Restaurants, Barbecue Restaurants, Caterers",(213) 680-1826,"123 Astronaut E S Onizuka St Ste 302, Los Angeles, CA 90012",rating not available/5,Review count not available
87,Nirvana Restaurant,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 625-0066,"314 E 1st St, Los Angeles, CA 90012",rating not available/5,Review count not available
88,Brite Spot,"Restaurants, Family Style Restaurants, Breakfast, Brunch & Lunch Restaurants",(213) 484-9800,"1918 W Sunset Blvd, Los Angeles, CA 90026",rating not available/5,Review count not available
89,Sa Rit Gol Restaurant,"Restaurants, Family Style Restaurants",(323) 732-8000,"1144 S Western Ave, Los Angeles, CA 90006",rating not available/5,Review count not available
90,Sushi Ajito,"Restaurants, Sushi Bars, Japanese Restaurants",(323) 466-2460,"1302 N Highland Ave, Los Angeles, CA 90028",rating not available/5,Review count not available
91,Sizzler,"Restaurants, Steak Houses, American Restaurants",(323) 467-2353,"1323 N Highland Ave, Los Angeles, CA 90028",rating not available/5,Review count not available
92,Fiddler's Bistro,"Restaurants, Breakfast, Brunch & Lunch Restaurants, Caterers",(323) 931-8167,"6009 W 3rd St, Los Angeles, CA 90036",rating not available/5,Review count not available
93,Marathon Restaurant,"Restaurants, Family Style Restaurants, Italian Restaurants",(323) 938-4243,"1043 S Fairfax Ave, Los Angeles, CA 90019",rating not available/5,Review count not available
94,Roscoe's House of Chicken and Waffles,"Restaurants, American Restaurants, Family Style Restaurants",(323) 466-7453,"1514 N Gower St, Los Angeles, CA 90028",rating not available/5,(8)
95,El Rinconcito Del Mar,"Restaurants, Mexican Restaurants, Family Style Restaurants",(323) 269-8723,"2908 E 1st St, Los Angeles, CA 90033",rating not available/5,(2)
96,All'Angolo,"Restaurants, Pizza, Italian Restaurants",(213) 368-7888,"4050 W 3rd St, Los Angeles, CA 90020",rating not available/5,(1)
97,Chin Chin,"Restaurants, Chinese Restaurants, Caterers",(310) 826-2525,"11740 San Vicente Blvd, Los Angeles, CA 90049",rating not available/5,(1)
98,Momo Korean Bar-B-Q,"Restaurants, Korean Restaurants, Asian Restaurants",(323) 268-5225,"1720 S Soto St, Los Angeles, CA 90023",rating not available/5,Review count not available
99,El Borrego De Oro,"Restaurants, Latin American Restaurants, Caterers",(323) 780-1132,"2808 E Washington Blvd, Los Angeles, CA 90023",rating not available/5,Review count not available
100,King Taco,"Restaurants, Mexican Restaurants, Family Style Restaurants",(323) 264-4067,"4504 E 3rd St, Los Angeles, CA 90022",rating not available/5,Review count not available
101,El Floridita,"Restaurants, Latin American Restaurants, Caterers",(323) 871-8612,"1253 Vine St, Los Angeles, CA 90038",rating not available/5,Review count not available
102,800 Degrees Neapolitan Pizzeria,"Restaurants, Pizza, Caterers",(310) 443-1911,"10889 Lindbrook Dr, Los Angeles, CA 90024",rating not available/5,(2)
103,Lanaranja,"Restaurants, Mexican Restaurants, Latin American Restaurants",(323) 221-5923,"2333 Daly St, Los Angeles, CA 90031",rating not available/5,(1)
104,Los Feliz Cafe,"Restaurants, Cafeterias, American Restaurants",(323) 661-2355,"3207 Los Feliz Blvd, Los Angeles, CA 90039",rating not available/5,(1)
105,Golden Bird,"Restaurants, Chicken Restaurants, Caterers",(323) 732-1228,"2847 Crenshaw Blvd, Los Angeles, CA 90016",rating not available/5,(1)
106,Mel's Drive In,"Restaurants, Breakfast, Brunch & Lunch Restaurants, Hamburgers & Hot Dogs",(323) 465-2111,"1650 N Highland Ave, Los Angeles, CA 90028",rating not available/5,(2)
107,The Park's Finest,"Restaurants, Barbecue Restaurants, Caterers",(213) 481-2800,"1267 W Temple St, Los Angeles, CA 90026",rating not available/5,Review count not available
108,Honey Bee's House of Breakfast,"Restaurants, Breakfast, Brunch & Lunch Restaurants, Caterers",(323) 731-7203,"4715 W Adams Blvd, Los Angeles, CA 90016",rating not available/5,Review count not available
109,The Slice,"Restaurants, Pizza, Caterers",(310) 437-7499,"13151 Fountain Park Dr Ste B, Los Angeles, CA 90094",rating not available/5,Review count not available
110,El Atacor Restaurant,"Restaurants, Family Style Restaurants",(323) 441-8477,"2622 N Figueroa St, Los Angeles, CA 90065",rating not available/5,Review count not available
111,Kailey's Restaurant,"Restaurants, Family Style Restaurants",(323) 343-9320,"3600 N Broadway, Los Angeles, CA 90031",rating not available/5,Review count not available
112,Malibu Fish Grill,"Restaurants, Seafood Restaurants, Caterers",(323) 692-0000,"6803 Melrose Ave, Los Angeles, CA 90038",rating not available/5,Review count not available
113,Le Oriental Bistro,"Restaurants, Chinese Restaurants, Taverns",(323) 462-3388,"1710 N Highland Ave, Los Angeles, CA 90028",rating not available/5,Review count not available
114,Mr Fish & Mex Grill,"Restaurants, Seafood Restaurants, Mexican Restaurants",(323) 290-0801,"4949 W Slauson Ave, Los Angeles, CA 90056",rating not available/5,Review count not available
115,Wacky Wok,"Restaurants, Chinese Restaurants, Take Out Restaurants",(310) 670-0071,"8919 S Sepulveda Blvd, Los Angeles, CA 90045",rating not available/5,Review count not available
116,The Morrison,"Restaurants, American Restaurants, Hamburgers & Hot Dogs",(323) 667-1839,"3179 Los Feliz Blvd, Los Angeles, CA 90039",rating not available/5,(10)
117,Food,"Restaurants, American Restaurants, Caterers",(310) 441-7770,"10571 W Pico Blvd, Los Angeles, CA 90064",rating not available/5,(4)
118,Genghis Cohen,"Restaurants, Chinese Restaurants, Bars",(323) 653-0640,"740 N Fairfax Ave, Los Angeles, CA 90046",rating not available/5,(1)
119,Garden Cafe,"Restaurants, American Restaurants, Breakfast, Brunch & Lunch Restaurants",(323) 951-1234,"6420 Wilshire Blvd, Los Angeles, CA 90048",rating not available/5,(1)
120,Las Galas,"Restaurants, American Restaurants, Japanese Restaurants",(213) 687-4811,"103 Japanese Village Plaza Mall, Los Angeles, CA 90012",rating not available/5,(1)
121,India's Oven,"Restaurants, Indian Restaurants, Middle Eastern Restaurants",(310) 207-5522,"11645 Wilshire Blvd Ste 200, Los Angeles, CA 90025",rating not available/5,(1)
122,Tila's Kitchen,"Restaurants, Pizza, Italian Restaurants",(323) 264-5513,"3909 Whittier Blvd, Los Angeles, CA 90023",rating not available/5,(1)
123,Twin Dragon,"Restaurants, Chinese Restaurants, Family Style Restaurants",(310) 657-7355,"8597 W Pico Blvd, Los Angeles, CA 90035",rating not available/5,Review count not available
124,Ichibanya USA,"Restaurants, Japanese Restaurants",(310) 479-1333,"12007 Wilshire Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
125,Rio Restaurant,"Restaurants, Family Style Restaurants",(323) 223-5693,"2207 N San Fernando Rd, Los Angeles, CA 90065",rating not available/5,Review count not available
126,Toad Restaurant,"Restaurants, Asian Restaurants, Take Out Restaurants",(323) 460-7037,"4503 Beverly Blvd, Los Angeles, CA 90004",rating not available/5,Review count not available
127,Cindy's Restaurant,"Restaurants, Family Style Restaurants",(323) 257-7375,"1500 Colorado Blvd, Los Angeles, CA 90041",rating not available/5,Review count not available
128,Osteria Mamma,"Restaurants, Italian Restaurants, Pizza",(323) 284-7060,"5732 Melrose Ave, Los Angeles, CA 90038",rating not available/5,(4)
129,The Original Pancake House,"Restaurants, Breakfast, Brunch & Lunch Restaurants, Family Style Restaurants",(310) 645-0456,"6521 S Sepulveda Blvd, Los Angeles, CA 90045",rating not available/5,(1)
130,Restaurant Bahia Ensenada,"Restaurants, Family Style Restaurants, Brazilian Restaurants",(323) 261-9569,"2605 E Cesar E Chavez Ave, Los Angeles, CA 90033",rating not available/5,Review count not available
131,59th & Lex Cafe,"Restaurants, American Restaurants",(310) 772-7178,"10250 Santa Monica Blvd  Inside Bloomingdale's, Los Angeles, CA 90067",rating not available/5,Review count not available
132,Loteria Grill,"Restaurants, Mexican Restaurants, Breakfast, Brunch & Lunch Restaurants",(323) 465-2500,"6627 Hollywood Blvd, Los Angeles, CA 90028",rating not available/5,(4)
133,La Estrella Restaurant,"Restaurants, Family Style Restaurants, Mexican Restaurants",(323) 266-4349,"940 S Lorena St, Los Angeles, CA 90023",rating not available/5,(2)
134,Palomino Euro-Bistro,"Restaurants, Family Style Restaurants",(310) 208-1960,"10877 Wilshire Blvd, Los Angeles, CA 90024",rating not available/5,(1)
135,Maria's Italian Kitchen,"Restaurants, Italian Restaurants",(310) 476-6112,"11723 Barrington Ct, Los Angeles, CA 90049",rating not available/5,(1)
136,Guadalajara Carnitas,"Restaurants, Seafood Restaurants",(323) 266-5648,"2735 E Cesar E Chavez Ave, Los Angeles, CA 90033",rating not available/5,Review count not available
137,Gus Jr,"Restaurants, Asian Restaurants, Family Style Restaurants",(323) 235-3713,"4001 S San Pedro St, Los Angeles, CA 90011",rating not available/5,Review count not available
138,Delancey,"Restaurants, Pizza, Caterers",(323) 469-2100,"5936 W Sunset Blvd, Los Angeles, CA 90028",rating not available/5,Review count not available
139,Yekta Restaurant,"Restaurants, Family Style Restaurants, Caterers",(310) 444-9422,"11925 Santa Monica Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
140,Toscana,"Restaurants, Italian Restaurants, Caterers",(310) 820-2448,"11633 San Vicente Blvd, Los Angeles, CA 90049",rating not available/5,(1)
141,Il Moro,"Restaurants, Italian Restaurants, Mediterranean Restaurants",(310) 575-3530,"11400 W Olympic Blvd Ste 160, Los Angeles, CA 90064",rating not available/5,Review count not available
142,Madeo Restaurant,"Restaurants, Italian Restaurants",(310) 859-0242,"8897 Beverly Blvd, Los Angeles, CA 90048",rating not available/5,(2)
143,Casa Sanchez,"Restaurants, Mexican Restaurants, Caterers",(310) 397-9999,"4500 S Centinela Ave, Los Angeles, CA 90066",rating not available/5,(2)
144,Shabu Shabu House Restaurant,"Restaurants, Japanese Restaurants, Asian Restaurants",(213) 680-3890,"127 Japanese Village Plaza Mall, Los Angeles, CA 90012",rating not available/5,(1)
145,Louigi's Italian Kitchen,"Restaurants, Italian Restaurants, Pizza",(310) 477-4500,"1644 Sawtelle Blvd, Los Angeles, CA 90025",rating not available/5,(1)
146,A.O.C.,"Restaurants, American Restaurants, Caterers",(310) 859-9859,"8700 W 3rd St, Los Angeles, CA 90048",rating not available/5,Review count not available
147,Juquila Restaurant,"Restaurants, Mexican Restaurants, Family Style Restaurants",(310) 312-1079,"11619 Santa Monica Blvd, Los Angeles, CA 90025",rating not available/5,Review count not available
148,Saddle Ranch Chop House,"Restaurants, Steak Houses, Caterers",(323) 656-2007,"8371 W Sunset Blvd, Los Angeles, CA 90069",rating not available/5,(110)
149,Thai Barbecue,"Restaurants, Thai Restaurants, Barbecue Restaurants",(323) 962-2004,"5324 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(298)
150,Thai Patio,"Restaurants, Thai Restaurants, Asian Restaurants",(323) 466-3894,"5273 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(274)
151,Harvard & Stone,"Restaurants, American Restaurants, Cocktail Lounges",(323) 466-6063,"5221 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(160)
152,Boran Thai Restaurant,"Restaurants, Thai Restaurants, Family Style Restaurants",(323) 469-8883,"5401 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(137)
153,Thailand Plaza,"Restaurants, Asian Restaurants, Thai Restaurants",(323) 993-9000,"5321 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(137)
154,D'Amore's Pizza,"Restaurants, Pizza, Caterers",(323) 951-0070,"8369 W 3rd St, Los Angeles, CA 90048",rating not available/5,(89)
155,Pizza Man,"Restaurants, Pizza, Italian Restaurants",(323) 665-4141,"5101  Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(116)
156,ShaBuShi,"Restaurants, Japanese Restaurants",(323) 522-6457,"5185 W Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(87)
157,Cajun Seafood House Hollywood,"Restaurants, Seafood Restaurants",(323) 989-7168,"5267 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(79)
158,Takken,"Restaurants, Sushi Bars, Japanese Restaurants",(213) 446-2274,"4700 Western Heritage Way, Los Angeles, CA 90027",rating not available/5,(101)
159,Jitlada Restaurant,"Restaurants, Asian Restaurants, Thai Restaurants",(323) 667-9809,"5233 1/2 W Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(86)
160,Bhan Kanom Thai,"Restaurants, Thai Restaurants, Asian Restaurants",(323) 871-8030,"5271 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(77)
161,India's Restaurant,"Restaurants, Indian Restaurants, Caterers",(323) 912-9230,"4366 Fountain Ave, Los Angeles, CA 90029",rating not available/5,(99)
162,Parus Indian Vegetarian Restaurant,"Restaurants, Family Style Restaurants",(323) 661-7600,"5140 W Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(60)
163,Sunset Express,"Restaurants, Chinese Restaurants",(323) 663-1228,"5070 W Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(55)
164,Melrose Cafe,"Restaurants, Coffee Shops, Bakeries",(323) 928-2294,"1308 N Edgemont St, Los Angeles, CA 90027",rating not available/5,(55)
165,Sapp Coffee Shop,"Restaurants, Thai Restaurants, Coffee & Espresso Restaurants",(323) 665-1035,"5183 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(54)
166,The Shrimp Lover,"Restaurants, Seafood Restaurants, Fish & Seafood Markets",(323) 668-9113,"5112 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(54)
167,Tastee BQ Grilling Co,"Restaurants, Barbecue Restaurants",(323) 558-8184,"4470 W Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(51)
168,Friends & Family,"Restaurants, American Restaurants, Coffee Shops",(323) 668-2000,"5150 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(53)
169,Kt Restaurant,"Restaurants, Thai Restaurants, Caterers",(323) 667-9800,"5151 Hollywood Blvd, Los Angeles, CA 90027",rating not available/5,(52)
170,Little Ongpin,"Restaurants, Chinese Restaurants, Asian Restaurants",(323) 644-1738,"5050 W Sunset Blvd, Los Angeles, CA 90027",rating not available/5,(45)
